,tweet_raw_text,task_1
21,Bhai tum ne un maa se ne pucha kiya jinke beti ka rape unke aankho se samne noida Mann huwa tab kya action liye tum logo ne,HOF
22,Vo bahanchod diggi ka sala lagta hai,HOF
23,Propaganda who did about love jihaad should be punished by the supreme court of India.,NOT
24,fuck u Ur a rite knob,HOF
25,":  सुन तु मिसाइल लेकर पाकिस्तान पैदल निकल जा ,  उनके रडार को लगेगा की हाथी आ रहा है । 🤣🤣🤣🤣 https : //t.co/xp6sK74Wkr",HOF
26,betay abb pata chala baap kaun hay Kashmir may terrorism bund hona chaiey warna jald hee ye hee haal karien gay tumhari fauj ka,HOF
27,if there is one hate filled rabied dog still Barking is sharma jootey saaf karo Rahul ke sharma ji tumhari aukat hi itni hai,HOF
28,.she is very cunning person.apne bhasan se ghar walon ko fasa liya.bani se bahut jyada bura isne bola tha.i hate u.,HOF
29,"Aapko to patna me murder,Gaya me rape ka pata v nahi chal pata hai aur bat karto ho ISI agent ka",NOT
30,: Kis madarchod ki he giri hui harkt,HOF
31,Tu Apni maa ko chodta hai na madherchod kutti se pelwata hai Apni behen ko,HOF
32,: Bosdk tu jo shikhar dhawan ka lekar baitha hai itne salo se gawar chutiya insan aagaya mention me apni marvane tu bkl\xf0\x9f\x98\x82 ht\xe2\x80\xa6,HOF
33,"Afsos isi baat ki hai , per koi nahi ek na ek din aqal thikane aayegi aur log samjhenge , nafrat se nahi payar se dil jeeta jata hai",NOT
34,Sir ye hae Vikas Shamshan kabristan Eid Diwali p raajniti bina khoon bahaye Aap ko sukoon nahi milega,NOT
35,: Oh OMG!! Kiya Chudai Pakda hai,HOF
36,"Kuch log bol rahe hai padmavat film dekhi nahi. Phir virodh kyon, ek baat bataye rape hone se pahle koi dekhta hai kya. Kisi ka apman hone se pahle, apman karane practice karte hai kya.",HOF
37,": The same man has been seen in another video being racist towards an elderly Asian man, whos also been pushed in a foun",HOF
38,Im just so tired but I dont want to sleep????,NOT
39,people followed me // automatically checked by,NOT
40,Abey randi k pille Teri maa ki chut mein kutte Ka lawra daa\xe2\x80\xa6,HOF
41,And once a bandariya H. now has become a kutiya...,HOF
42,Bilkul ho rahi jaanch bhi ho rahi tum bhi bolo ki sapa raaj me rape hota tha aur Fir ki jahag repist ko bachaya gaya bolo,NOT
43,tum logo paise milte paise k tttu andhe ho kya murder kis n kiye,HOF
44,": Friend - Bhai Me Apne Bete Ka Kya Naam Rakhu Jo Sabki Zubaan Pe Rahe \n\nMe - "" Bahenchod "" Rakh De",HOF
45,By the way pakistan me kirne % lrkian is trh ki pai jati hain kia hmare villages me is trh ki khawateen moujood hain phr b rape ratio wahan ziada e kuch farmaen ge ap is barey me,NOT
46,: Youre funny afYoure super nice wow,HOF
47,\xe2\x80\xa6,NOT
48,I think govt add of nirodh but can't find link that are very rarely played on doordarshan.\n\nDeluxe nirodh?,NOT
49,CM thai to terrorism sai kasai ladna hai sab malum tha. PM hotai hi sab bhool gayai. Or cake kaha nai pakistan bhi chala gayai,HOF
50,Terrorism khud khatam ho jayega,NOT
51,"You know I totally get what you're going, but come on it still awesome that ff7 is",NOT
52,काग्रेसी कहा मर गये् उनका जवाई आंतकी साबित हो गया,HOF
53,Abhi teri hockey team ki rape hui dekha ya nhi G ki speed se,NOT
54,My brother really need to stop showing his ass around on Instagram,HOF
55,Tum Pakistanis ka wajood kya hai Crs diya thhe partitions ke wakht aaj phir bhi tum bhikhari ho aur hum Hindustani dekh lo hamra ISRO Aaaj duniya ke liya satellite launch karta hai aur tum kya kar sakhte ho bus terrorism,HOF
56,I hate Gandhi,HOF
57,: not twins actually. adam and i got a divorce. ex-brothers now. thank you very much for the big nice tweet.,NOT
58,Isme embarassing kya hai bey madarchod? Ahmedabad commissioner has not given permission to hold a rall\xe2\x80\xa6,HOF
59,Himesh !! I hate him !! Kya mike laga ke Rakha Hai Kya gale mein,HOF
60,सब प्रियंका वाड्रा का ड्रामा है,NOT
61,": ....who got them there. Chris Wallace said, I actually think, whether you like his opinions or not, that Mayor Pete h",NOT
62,Urdu mein bhi same hi meaning hai jo Hindi mein hai \xf0\x9f\x98\x8a\nBut it's Hina's logic \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\nShe can say Kutta kameena Saala bu\xe2\x80\xa6,HOF
63,":  ।। हर हर महादेव ।। सादर चरण स्पर्श पूज्यश्री🙏     🌹🌸🌹 🌹🌸🌹 हर ओर सत्यम-शिवम-सुन्दरम ,  हर हृदय में हर-हर हैं…",NOT
64,Gareeb logon ko notebandi se koi farq nahi pada up the level of Higher middle class,NOT
65,Aur bhi bahut kuch tha bb related se bolne ko raju shri pr tumne parsnol ja ke bola shilpa ko uske kam ke bare me uske self respect ke bare me i hate u raju shri jaisi tumhri shakl waisi tumhari akal,NOT
66,: HOLY SHIT HE WAS RIGHT THERE,HOF
67,Agar waqai yeh log hate speech karty thy to phat tu in ko publicly hanged nazar chie hy,NOT
68,ELECTIONS Betiyoon Ka Rape kar unhe pedh se latka diya tha shayad Ye sabhi ko hoga yaad..UP bachaoo Desh Bachaoo,HOF
69,LOL barely stopped laughing... No wonder Rahul found his soul mate in this super chutiya...Aples Thakor,HOF
70,गंगा जी मे जरूर नहा लेना सारे पुराने पाप धुल जाएंगे,NOT
71,Ap kya samajhte ho hum khud apne hi country main hum khud terrorism karahe hain,HOF
72,Too much hate haih,HOF
73,"Tumhari ma ki chut, tumhari ma ka bhosda",HOF
74,"*Gasp* Hate speech Garon, Hate speech!",NOT
75,Hindu journalism kya hai,NOT
76,"Bharat k musalmano ne har terrorism ko nakar diya,aj har din ap mobe bana kar nirdosh musalmano ki hatya kar rahe phir bhi Muslim silent",NOT
77,Chain say so rahay thi yeh...koie Jaga kay chal diya...Qissa Mishal kay Murder ka ...is ko suna kay chal diya,NOT
78,आई,NOT
79,"Sir Rishi. Aab baap kon hai, pata chal gaya. Chalo choro, aap log har gai. Aab tu terrorism band kar do",NOT
80,Ak taraf nafrat ha jo kuch hi palo ma mehsoos kr li jati ha..dusri taraf mohabbat ha jiska yakeen dilany ma zindagian guzar jati hn..!,NOT
81,Aik Mareez Ko A+B+Positive Khoon Ke Sakt Zarorat Han Jo Dost Dena Chahe Wo Rabta Karay.,NOT
82,OMG! You have to see this. &gt,NOT
83,Mazaak hai,NOT
84,"Madam- Aaj meri bahan ka rape kya gaya ha. wo saal ki mentally and physically challenged hai, mujhe aap ke mdt ki jarurat",NOT
85,Nitish shrab band karne ke drama me chandan maragaya..Khoob khush ho murder hone pe..ENJOY WHITE CAR!,NOT
86,"dafa ho. I hate chai, Bhool gaye?",HOF
87,": Innocent peopleNo one who turns up to support the racist, fraud, thug and radicaliser Tommy Robinson is",NOT
88,ye vidya salman se bhut bdi celebrity h.,NOT
89,Tumhare certificate ki zaroorat nahi,NOT
90,I dunno why but 'neech' is ringing in my mind\n,NOT
91,"I think the issue may not be just condom ads, but some ads in general (e.g. some deodorant ads). \n\nSome ads (irresp\xe2\x80\xa6",NOT
92,mai toh side mein ho ke muth maar leta hoon,HOF
93,सही है..  जुमलेश्वर जनता के चुने हुवे प्रतिनधि और जनता की चुनी हुई राज्य सरकारों का सम्मान भी करना नही जानता.. जुमलर्श्वर खुद को सबसे बड़ा और महान समझने लगा है..  यर देश के लिए खतरनाक है..  जनता से निवेदन है कि चुनाव में इस फेकू जुमलेश्वर को ज़ोला थामकर बाहर निकालो...,HOF
94,Madarchod hindu dharm chod bhosdi wlae harami,HOF
95,Shut upppp haraami,HOF
96,"साला मोदी से चुनाव तो नहीं जीत सकते ,  ऐसे ही छुटकारा मिल जाये 🤣🤣🤣",HOF
97,रखा है क्या दस करोड तो तेरे लिये हरी झंडी है । कमा लेना सौ करोड ये गुलामो की मन्डी है ।।  ऎसा फायदा तब पाएगा । जब राजनीति मे आएगा ।।,NOT
98,: Abhi Main tere ko Gaandu boolu ga tu aise Mat keh dena kiii tuu Gaand ma\xe2\x80\xa6,HOF
99,Koi baat nai he shilpa ki bejati karne k liye to tum ko bahar akar patta chalega etna marenge something wessa hi kaha ..its too much yar ..hina akash ka to jokely kiya par usko buri tara peskiya shilpa ka ..i hate that guy check out in voot app,HOF
100,"narendramodi_in :  उन्होंने देश के लोगों के साथ विश्वासघात किया ,  देश की उम्मीदों को तोड़ा और ताल ठोक कर कहते रहे- हुआ तो हुआ।  जब राष्ट्रहित के बजाय ,  सिर्फ अपने परिवार का हित सर्वोपरि होता है ,  तो यही अहंकार ,  यही घमंड बोलता है- हुआ तो हुआ :  PM narendramodi",NOT
101,haan or bol.. ye voice suit kar rahi hai tere upar... apni hate jaari rakho.. or vote kharab karo.,NOT
102,":  पहले हर अच्छी बात का मजाक बनता है ,  फिर विरोध होता है और फिर उसे स्वीकार लिया जाता है  : - स्वामी विवेकानंद https : //t.co/lp…",NOT
103,Aap jaisi ladies sare world mai faila hua Islamic terrorism ko khatm kar shakta hai. Dekhte hai Pakistan mai sachche musalman kitne hai aur kaun aapke sath aata hai.,NOT
104,Teri pichwada bhi aisi chodoonga,HOF
105,"tumne harneet mam ka IV nahi pada wahi bola tha, jab IPKKND band horaha tha tab harneet mam ne hate mail kiya tha gul mam ko",NOT
106,Chinaal tu raandi hai... mein tujhe ruka sakta hu... par tu mujhe nhi..,HOF
107,Muslim free ki randi hoti h uncut ki,HOF
108,Tumhari army ne Kya kiya Bangladesh me. majloom aurato ka rape .,HOF
109,Yes! Little Big Man - I havent heard that one in years. The one I REALLY want but Ive never been ab,NOT
110,Congress party mein koi bhi aa sakta hai Bhrashtachari naksali algawadi aatankwadi Kanhaiya Kumar Hardik Patel niza\xe2\x80\xa6,HOF
111,. will be at in weeks!Tickets + Info:,NOT
112,:  कांग्रेस ने मध्य प्रदेश के किसानों से ये कह कर वोट लिया था कि दिन में लाख रुपये तक का कर्ज माफ़ कर देंगे।   वो दिन कब…,NOT
113,: Can we just agree at this point that everything this corrupt traitor does is shocking and inappropriate? That everything he,HOF
114,"Choos Mera Lora, Ghasti Kay Bachay",HOF
115,Everyone fucking sucks. Period.,HOF
116,Aur Mae tamam Hindu sahngtan ko ye cetwoni detha hu ke ham musalman ki maa bahene ke Saat aur hamre bahiyo ke saat\xe2\x80\xa6,HOF
117,Child rape par tame loko majak kari rahya hata tyare tamara mummy ne tamari chinta noti thati bhai?,NOT
118,"Pakistan mein rape police thane mein report nahi hote chutiyee, tumhare country mein bachabazi or pedophillia sabse zyada hai",HOF
119,"Bhai, ap age bhadthey raho, Dhalith, Hindu, Musalman, secular log ekattahothey Bjp Ko or paid media ko Dar suru hogaya,",NOT
120,"फोटो ऐसे दिखा रही है जैसे पाकिस्तान से लड़ाई लड़ने गया हो , अरे चारा चोर चोरी में अंदर गया है😂😂👇",HOF
121,: These Jihadis sponsored by Pakistan are spread all over India....they need to be hounded and thrown in before they get more o,HOF
122,Teri ma chinaal..mc k bachhe\xf0\x9f\x98\x82\xf0\x9f\x98\x82,HOF
123,"could tell his supporters""I phucked your mother and I am your father",HOF
124,"Hattttttttttttttttttt , har berozgaar ehi kehta hai bahanchod..",HOF
125,"Morning, If I've exclude a transaction is there away to unexclue it?",NOT
126,:  कांग्रेस इतनी घटिया पार्टी है कि उसके नेताओं का खुद मन नही होता वोट देने का। https : //t.co/nnfgIrYhuY,HOF
127,Kashmir me kashmiri pandito ko marke aurto ka rape kia tha...bangal me bangali ko mara tha wo kon the? Aap ke dost?,HOF
128,"क्योंकि वह स्वयं को उनके मज़हब के प्रति आस्थावान दिखाना चाहता है या हो सकता है यह ""हलाला"" की पैदाइश ही हो ।",NOT
129,Teri maaka bhosda randi ke.....ab hindustan me gandhigiri band modigiri shuru h,HOF
130,": Start with Antifa &amp; then Muslim Brotherhood.Raise you hand, using the appropriate sign language, if you think Ilhan Omar",NOT
131,: hanbin: yeri do it with meyeri: not this shit again,HOF
132,the brain can also get sick like the other parts of the body. do not hesitate seeking help from the right person.,NOT
133,OMG! You have to see this. &gt,NOT
134,murdrer bhai kiska khoon kiya modi ne jra btao,NOT
135,":  कैसे बोलेंगे , लङको से गल्तियाँ हो जाती हैं वाली पार्टी है ये।",NOT
136,Chutiye Million Porkis Open mein tatti karte hai\xe2\x80\xa6,HOF
137,Abe incognito naam ke piche chupe jihadi kutte yeh spamming band kar ration card ke naam par rape karna aur nirbhaya rapist ko appeasement ke liye k rs aur sewing machine dena yeh hai tumhari aurto ke prati izzat,NOT
138,": Bambam: If you wanna hear the songs/see the performance, come to our concert! You think were gonna show it easily?? No!J",NOT
139,गंभीर बात। प्रोपैगैंडा की प्रेरणा अमरीका (जहाँ से हम ये वॉर रूम और उसका पूरी कहानी कहना सीखे हैं) में भी पूरा प्रोपैगैंडा मशीनरी के द्वारा फैलाया जाता है और उस मशीनरी में बड़ा हाथ वहाँ की फिल्मों का भी रहता है। कभी... https : //t.co/8ODw4YBdep,NOT
140,: Raj Babar is half Katua.He doesn't know that Haiti's are also Hindus and not Muslims. He should asked hum bata dete,HOF
141,Ab kya bachcho pe bhi rape threat ke case lagwayengi ye?,HOF
142,fucking girls wheel of porn amateur housewife fucking list of free porno sites real sexy movies myanmar sexyiest,HOF
143,OWN MOTHER BECH KAAR KE,NOT
144,: You know how you make America great again? Tell to go to hell,HOF
145,ko bhi suspend karo. \xe2\x80\x9cNEECH\xe2\x80\x9d aadmi ki degree farzi hai. Haraami ki aulaad ko phansi do!,HOF
146,": ok but i need to say this, i need a jimin selca in this fit",NOT
147,Aaz k time m brsh m rape kar sakta hai bahut se tablets hai,NOT
148,Kaha tah kuch log Kabi Apko samaj nahee sakaty ke khalaf saala Struggle. MUFADPERAST\xe2\x80\xa6,NOT
149,"मां एक सेविका की तरह अपने बच्चों का पालन पोषण करती है ,  और खुद भूखी रहकर भी अपने बच्चों का पेट भरती है।",NOT
150,mohabbat tum se nafrat hai episode,NOT
151,": OUT NOW, IF YOU LIKE, TELL A FRIEND, IF YOU HATE, TELL A FRIEND",NOT
152,":  इन्होंने कसम खाई थी की शीला जी के समय में जितना भ्रष्टाचार हुआ हम उनकों जेल भेजेंगे।  केजरीवाल जी क्या हुआ ,  कितने केस दर्ज क…",NOT
153,: this shit clearer than my future,HOF
154,Youre right...dont vote.,NOT
155,Ja kutte bhagwi madarchod apni bhahen ka rape Kar Teri nhi tumari yahi aukat hai are Vese bhi har ghar mein sanbhu hai tubhi salo kutto apni bhahen ka rape karte ho,HOF
156,"i wud say ""teri ma ko puch main kitna chodu hoon ""\n\nBut then the civilised me says , stay away from retards",HOF
157,": A next ting, dem lecturer ya wah fit months worth a work inna hours. Mi look like mi have infinity gauntlet pon mi hand a",NOT
158,terrorism tumhara kaam hai humara nahi Spy to tumhare bhi hai. So chill,NOT
159,: Oh youve got to be Fucking kidding me.,HOF
160,bhai khoon Congress waalo ka hath mei nahi riots ke sidhu ne jinse haath milaya hai.,NOT
161,":  अब तो चीन को भी मालूम पड़ गया कि #आएगा_तो_मोदी_ही ,  इसीलिए ना चाहते हुए भी को ग्लोबल आतंकी घोषित करने पर रा…",NOT
162,लोकतन्त्र के त्योहार मै वोट  डालकर आया हू | मै फिर एक बार मोदी  सरकार बनाने मै योगदान करके आया हू  | https : //t.co/bV005mfwsp,NOT
163,i hate youuuuuuu haramzade .........meri unkahiii baat kya be ...jo keh rahiii hun vo sun.... himmat nhi hai na tujhme sach sunne ki thuuuuu,HOF
164,बंगाल की पुलिस भी बड़ी बदमाश होता है पता नहीं अब क्या होगा कुछ ऐसा वैसा हुआ ना तो बंगाल की जनता दीदी को माफ़,HOF
165,Why do I feel like I know who youre talking about,NOT
166,": Oh, son... Your boy cunt feels so nice and hot. My gangbang buddies and I will all fuck the hell out of it. Well fi",HOF
167,"Let congress die due to its own mistakes, its inability to encourage young leaders, its inability to be",NOT
168,Nahi bhai wo nahi hai..I hate Mallu one,HOF
169,Hahaha...kr lia ..theek Kia muje pta ta zarur kroge ..ab ABVP pe aagye arey kisko rape ki dhamki di Gurmehar ko? bhai wo banda ABVP ka ni ta,NOT
170,:  क्या तेज बहादुर का पर्चा किसी दबाव में कैंसिल करवाया गया?क्या चुनाव आयोग कठपुतली बन गया?  ⁦@BJP4India⁩ ⁦@yadavakhilesh⁩ ⁦@…,NOT
171,": These Evangelists abuse Hindu Gods in open, desecrate Hindu idols, molest kids i\xe2\x80\xa6",HOF
172,Is chinaal ko italy bhejo pehle,HOF
173,Jis country me sab se kam rape hote hn wahan ka qanoon laagu hona chahiye india me. Tabhi in darindo ka kuch ilaaj ho sakta hai.,NOT
174,Aap ke rape hochoki hai aap to padasi yahi ke ho.,HOF
175,":  मशहूर अभिनेता अरुण बक्शी ने बीजेपी का दामन थामा ,  से की खास बातचीत सुनिए क्या कहा उन्होंने इस खास इंटरव्…",NOT
176,"इस इलेक्शन में सबसे कम वोटिंग हो रही है ,  जनता का भरोसा टूट रहा है यह उसका परिणाम है",NOT
177,: TAKE MY FUCKING KIDNEYS I BEG,HOF
178,:  जीवन मे किसी के मदद की जरुरत हो तो अवश्य ले शर्माए नही https : //t.co/1Bw8tGMonG,NOT
179,: Modi : Father of the nation \nSadhvi Pragya : Mother of the nation \nSmriti Irani : Daughter of the nation \nSambit Patra\xe2\x80\xa6,NOT
180,..Bjp ab har gandi step ko apnayenge jeetane k liye..pata nhi inko kyu acha lgta hai hindu -mu\xe2\x80\xa6,NOT
181,ma'am ye apne ek dum sahi kha hai logo ko smajhne ki zarurat hai rape netao ke nai ho rhe h bharat ki nanhi pario k ho rh h,NOT
182,Plz uska naam mat lijiye.. sab utar jaati hai.. hate him,HOF
183,Aur tu kiska jo abhi delhi me pakdaya hai pregnent kutiya ka rape karne ke liye...,HOF
184,Muje shivika K love hate scenes chahiye balti bhar bhar K,NOT
185,": We've all been hurt by words before. So before you speak, think about how your words might affect someone else. Dont r",NOT
186,Badir just announced their funding statistics for their emerging startups in Saudi Arabia\n,NOT
187,Think this would work with other shapes? Like something square or oblong?,NOT
188,muje kabhi yaqin nahi asakta tumhari baat pe k u like puneesh..isliye kyun karun nafrat jb tum keh hi jhoot rahi ho,NOT
189,"It's mushroon called Keeda Jadi or Cordycep grown in upper region of Himalayas, available f\xe2\x80\xa6",NOT
190,": Were not a big house, but we are a proud one.Lyanna Mormont.",NOT
191,: Grass only looks greener on the other side when youre staring over the fence instead of mowing your own lawn.,NOT
192,:  कई बार सोचता हु की AAP से कुछ लोग बाहर ना जाते तो कितना अच्छा होता पर फिर ऐसे लोगों को भोंकते देखता हु तो सोचता हु अरविंद जी…,NOT
193,"Don\xe2\x80\x99t raise such things now Modi Hindu Musalmaan banna degaa , BJP list in Gujarat and looking for a communal card",HOF
194,Madarchod ! Modi ka naam liye bina publicity nahi milti gaandu ?,HOF
195,Bhadvo Haryana me ho rahe rape par khamosh kyu ho? Kya rape deshbhakti he? Or Modiji se sawal puchna Sena ko target karna kaise? Dallo dub maro.,HOF
196,Hahaha wo to tujhe v pata hai ki kiska rape hoga,NOT
197,:  ये भीड देख कर ऐसा लगता है कि मध्यप्रदेश के मुरैना से बसपा प्रत्यासी करतार सिंह भडाना का जीतना तैय है @Anjupra7743…,NOT
198,) MAHI EK HAI EK THA AUR EK HI RHEGA.. CAPTAIN WORD TOH DEDOGE PR KHOON KI CAPTAINCY KAHAN SE DOGE,NOT
199,FINE,NOT
200,I hate gupta,HOF
201,"Jo bat ho rahi jawab us k dain,yaha rape ki bat hi ni ho rahi.",NOT
202,Aajki nasamaj Hindu ladki kalki love jihaad ka shikar hai,HOF
203,He belongs in the BJP IT Cell undoubtedly. Cretins like him deceive Dalit into the Hin\xe2\x80\xa6,HOF
204,Hanipreet ko dekhkar aisa lagta hai ki baba par bhi rape ka case jhutha laga diya hai,NOT
205,Now she gone think Im a creep oh well,HOF
206,to baba ke pass kinyu gyee thi jo baba se zyada ladkio ko rape kr chuke h,NOT
207,Should the Jewish Americans side with the Nazis w/ AR-15s or the left ? Did they just ask that ?,NOT
208,Holy mother of glob.....,NOT
209,aap lafzo Ki rani h mohotarma ..qalam aap Ki pehchaan aur aapke ishare s saare lafz sematt hate h aapki barghaa m ..aur...,NOT
210,: . two owen wilsons watching the sunset,NOT
211,Agar no hate Guru Gobind Singh .,NOT
212,: OKAY TAE OKAY???????? HOLY SHIT TAE YALL WHEN I SAY I DIED,HOF
213,Tum Kashmir aur Balochistan mein terrorism band kro Piece khudi aa jaye ga!,NOT
214,":  हर वोट की अहमियत है ,  हर वोट खास है ,   वोट सिर्फ ठप्पा नहीं ,  हमारी आवाज है। #ShahKishan4Chamba…",NOT
215,: % less fat means % more chances of me getting a partner on Tinder. Bye bye acne due to fried food.,NOT
216,Bawli booch mein Hindustani hu Teri tarah ISI ka agent nhi tu aur Tera baap krta hai nafrat ki rajneeti hum to bhaichare wale h,HOF
217,": judging from their outfits, this was during their SXSW Festival performance binhwan being their weird ass selves in the wa",HOF
218,: very few things make us happy these days. the is one of them.,NOT
219,Ek patni pr usko pr ye samaj ki kt putli hein jb chahe ladki ko maar diya jb chahe rape kr diya aur India,NOT
220,"Mohmad kesa prophet, uske hi blind follower ki saal ki beti ka rape kya or tum mulle aaj tak apni ma betiyo ka rape karte or karvate ho",HOF
221,": Modi government has tackled terrorism in a way that previous UPA never attempted, crucial in this era of global terror",NOT
222,"तुमने दी आवाज  ,  लो मै आ गया  बादलों को छुपा कर मै अा गया  रडार को भी बादलों में छुपा कर अा गया  तुम्हारा फेकू रडार के साथ अा गया  तुमने दी आवाज  ,  लो मै आ गया",NOT
223,hello friends.. tea bechnevala P.M. Ab Gujarat m Hindu-musalman k name par danga karevana but Gujarat ki janeta ape\xe2\x80\xa6,HOF
224,:  IMF :  - मिस्टर इमरान खान क्या गारंटी है कि आपको दिये गये फंड का उपयोग आप आतंकवाद को बढाने में नही लगाएंगे?   इमरान :  - स…,NOT
225,Sali raand,HOF
226,Waise meri soch aisi hai coz main Religion maanta hi nahi nafrat hai kattar logo se Aur unnki soch se,HOF
227,Delhi rape case ka tumne kya kar Lia tha? Wo dickshit kya kar Rahi thi?,HOF
228,: Now low IQ Maxine wants to impeach Barr?? Who is next?? I think thats probably the largest word in her vocabulary!!,NOT
229,I need more dets!,NOT
230,Chadhugaa hi raand meri betichod ki aulaad saali aahhh\nMast chut h chinaal teri,HOF
231,Dekho to terrorism ki bat kon kr rha hai jo khud hmare mulk me terrorist bhejta hai..,NOT
232,Pidi tu bata bahanchod year tu kay keya\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82,HOF
233,: J\xe2\x80\x99me tatte \xc3\xa0 y aller !,HOF
234,gali mat de Bhai nai to bolegi Muslim hoon is liye gali de raha .bolti ha army iski Maa been ka rape kiya,NOT
235,aaj tak hi best hai,NOT
236,Ek case batado proof ke saath love jihad ..kya Hindu ladke musalmaan ladkiyo ki zindagi nahi barbaad karte ..,HOF
237,"mjh jo bh kaho ,, pr mery favrt ko na he like kro aur na he hate , warna",NOT
238,Hahaha khaab dekhna achi bt hai..,NOT
239,tu ny gandi shakal banaie hoti rape victims ki tarhan ki,NOT
240,murder ki baat kar rahe ho?,NOT
241,Shilpa ko jese show se nikal ke faka hai wese he bb se bhi nikal ke fake do kuch deserve nahe karte wo I hate Shilpa shinde,HOF
242,ye cherte nahi seedha rape karte hai,NOT
243,Jin ladkiyon ka rape hua wo ab tak samne kyu nhi aayi,NOT
244,Did you ever go to Shawns concert?,NOT
245,: Bruh if you wanna cheat or have the urge to fuck other people. Then just be single you dumb mf.,HOF
246,Bahanchod tu ja ke dekhna Teri ammi ka halala ho rha h or wo tere Abbu mujse krwa rhe h,HOF
247,Judges msti se so rhe hai,NOT
248,"Aaj he DNA me dikhaa raha tha ke aap ne dilli ke Gaand maar Rakhi hai, daily rape ho rahe hai.",NOT
249,: BREAKING: White House officials asked Don McGahn twice in the past month to publicly say Trump didnt obstruct justice. This is,NOT
250,Jis rape ke laws and rules ko koi darta nahi un law ans rules ki desh ko kyu hai jarurat..?,NOT
251,Kitna bhi joota maro saale ko..... Bahut soovar type ka insaan hai..... Mar ja saala,HOF
252,"Well said, but It's applicable to in the name of love jihad too, I wish similar judgement for t\xe2\x80\xa6",NOT
253,Btw! ...I HATE YOUR JESUS THING! ...Bhosidika jinki merko kisi din gaand todhni haramkhoro ki unko bacha raha.,HOF
254,where are Ahesh bhatt etc. he did not say any word on kulbhushan jadhav death sentence. in sabko chaurahe par ikkhata kar ke phansi de do,HOF
255,tu kitna gawar hai BC illiterate bhi bola aur gawar bhi badve nikal ab srk chutiya hai aur tu bhi ab bol I don't hate srk. I was kidding,NOT
256,स्वर आंटी को तो बहुत मजा आता होगा अगल बगल में सारे मर्द ही पड़े हैं,HOF
257,tabhi Toilet or Rape ko leke rote rehte ho,NOT
258,कितना सन्नाटा है.....   कोई डिबेट नहीं....  कोई ट्वीट नहीं कर रहा है... लोकशाही को कोई खतरा नहीं है?  😁😁😁😁😁,NOT
259,: ! You're not gonna want to miss this. couldn't wait to get a word in on the Red Carpet! Miguel &amp; H,NOT
260,\xe6\xa5\xbd\xe3\x81\x97\xe3\x81\x8f\xe3\x81\xaa\xe3\x81\xa3\xe3\x81\xa6\xe3\x82\x8b\xe3\x81\x98\xe3\x82\x83\xe3\x82\x93\xe7\xac\x91\n\xef\xbc\xbc\xe9\x81\x95\xe3\x81\x86\xe3\x82\x88\xef\xbc\x8f,NOT
261,"इसने तो झूठ बोला ही  ,  सामने जो अपने आप को पत्रकार कहते हैं वो भी कितने आराम से सुन रहे हैं । इन बिके हुए दलालो  की इतनी हिम्मत नही हुई कि मोदी को झूठ बोलते हुए टोके ।",HOF
