,tweet_raw_text,task_1
88,Very glad you are my President!,NOT
89,I just want a husband and a big ass house in Franklin Lakes with Kehinde Wiley on the wall and a double sink in our,HOF
90,"If yOu'Re aGainSt wEaLth InEQuaLiTy, wHy aRe YoU EaTiNg?",NOT
91,They cooperated as much as they could before your friend her twted their private info just like th,NOT
92,": We've all been hurt by words before. So before you speak, think about how your words might affect someone else. Dont r",NOT
93,Holy fuck,HOF
94,: is teaching me the importance of group energy. theres some shit that is possible to do by yourself that people you t,HOF
95,: Cristiano Ronaldo /12 The Most Complete Player Ever,NOT
96,": jon snow, heart broken as fuck.",HOF
97,as far as im concerned thats americas ass,HOF
98,Oh? Tell me more~,NOT
99,: Who raised these hateful ass bitches,HOF
100,Just caught up on GoT and FUCKING HELL,HOF
101,Cort dead ass think that hes my dad.,HOF
102,": .: ""I have been listening carefully to my Republican colleagues &amp; it seems they're going to coordinate a 'lock h",NOT
103,damn,HOF
104,The fact that these niggas think its cool just to beat their dicks to women IN PUBLIC....WITHOUT THEIR CONSENT!!! Is fucking Insane.,HOF
105,: I suck at remembering names but the faces of people I've met I rarely ever forget.,HOF
106,"THE BIG -0 Congratulations to our Coaching Director, Mr. Jon Parry, on his fiftieth birthday! He has worke",NOT
107,: Clive Palmer contracted a labour hire company to recruit and pay people to hand out his how to vote cards at polling,NOT
108,": Dont know what this says but, RE FUCKING TWEET",HOF
109,Her dad is fine but she is fine like her mum Chief!,NOT
110,: White House is working to designate Muslim Brotherhood a terrorist organization - CNNPolitics,HOF
111,: This is the unusual leadership you get when you elect unusual candidates.As a mom of three who never had access to the k,NOT
112,: Zac Efron is so fucking sexy like god damn I will NEVER not be in love with him,HOF
113,I dont not like James Charles! I think hes great but ONLY for makeup. I dont understand why everyone keeps hypin,NOT
114,"What the fuck has happened to u Martin ? Pinning ur colours to a racist like farage, Im ashamed of you",HOF
115,people followed me // automatically checked by,NOT
116,We vote for him for president.,NOT
117,": Someone: Youve been staring off into space, what are you thinking about?Me: oh, nothing My brain: .....,,,.big lapras,,",NOT
118,here we go again,NOT
119,fuck a cc,HOF
120,Go Valour!,HOF
121,": confession no :""Little bit tired today cuz homework and i need to wake up fast tomorrow, i hope im doing fine with myse",NOT
122,The moment they do sum funny its fuck em,HOF
123,The utter ignorance of intolerant white people about is astounding. Mmm she said she was willing to talk s,HOF
124,"Me: Man, was the rainiest year ever, especially on the weekends. At least it cant get any worse. : Here",NOT
125,: This is why you lost the election.This is why you'll continue to lose elections. People are done with being screamed,NOT
126,": Hang in there ARMYs just bear a little more time. Okay? Okay.Its okay to rest, you deserved it! BTS",NOT
127,: ugh help us have the show back instead I dont wanna say bye,NOT
128,: When I was I Turned Cuz Fuck,HOF
129,: years ago the words you ready? uttered from a year old Beyonc Gisselle Knowles mouth! Little did the world kno,NOT
130,: I dont kiss ass but I do apologize in situations that were my fault,HOF
131,I NEED ONE!!!,NOT
132,FUCKING DECEASED,NOT
133,": remember when yoongi took off his coat so jimin can scratch his back in the middle of a grocery store,,, IM ACTUALLY SICK https:",NOT
134,: You're all praising Gay Joe Russo when Agent Jimmy Woo asked Scott Lang out for dinner with his entire chest.,NOT
135,"May is here and so is Mental Health Awareness Month... Most of you probably dont know that, just as most of you pr",NOT
136,I didnt think we had one,NOT
137,: y'all ever fall in love with someone like times??? Like damn i thought i loved you before but wtf is this next level sh,HOF
138,I cant go to the lacrosse playoffs tonight so Im probably gonna end up getting pink eye,NOT
139,: A reminder to get yo ass outside,HOF
140,i was going take that ride to br but this weather want be onnat pussy ass shit,HOF
141,: i just wanna FUCK F - Find Happiness U - Understand myselfC - Care about othersK - k l l l m y s e l f,HOF
142,Or the fuck not.,HOF
143,Thank you Wendy! Youre the sweetest,NOT
144,: Anyone who doesn't say their mobile number in the /3/3 format is a fucking danger,HOF
145,Do we really want to push scared women to hurt their bodys like that? On the other hand girls who have to go thoug,NOT
146,: i hate when i go to touch up my makeup and jerry calls me in for a mission,NOT
147,: RT if youd fuck my hole,HOF
148,": No President in history has endured such vicious personal attacks by political opponents. Still, the Presidents reco",NOT
149,Wow I totally underestimated you as a friend. Youre a legend.,NOT
150,: The pain in words of Gautam Gambhir. AAPtards haven't gone to police means they know their guy will be caught who is behind,NOT
151,": When people say abortion is only okay in cases of rape, they're telling women they only get bodily autonomy if they've",NOT
152,Are you fucking kidding me.,HOF
153,: *reminds myself he's not worth my tears*Fuck that idiot.,HOF
154,"A'ight bruh,be downloading ina minute",NOT
155,: I wish Chris Wallace would spit the marbles out of his mouth and quit mumbling like a damn idiot. This Never Trump ass-wipe,HOF
156,"If a nigga switch up that to me is hoe shit, just do what right by your child. Even if you don't feel",HOF
157,:,NOT
158,And she's a gorgeous dick eater,HOF
159,im glad you're back!! you really need to do that and tell me who you got to manage hdksjsjs,NOT
160,Well thats all the inspiration I needed! Ill be spending the rest of my weekend locked in my room!,NOT
161,": Im min into this jake paul Cody Ko video, fav part def has to be when Jake tries to embarrass Cody for his old little ba",NOT
162,Makasih udah nayangin the biggest boyband in the whole world BTS di breakout! I purple you! (Means i l,NOT
163,: Love her. Would love to fuck her on camera,HOF
164,": Looking at Corey Klubers face on the replay will tell you nothing, of course. But Kluber not even attempting to pick up th",NOT
165,"Wow she's actually making a parallel between drinking, smoking and red meat. Like we know these",NOT
166,OH FUCK,HOF
167,You ask for basic shit when youre dating to stand out but get tired of the basic shit after years of marriage a,HOF
168,": If youre having a bad day, Im not going to tell you to have a good day. I know its not that simple. Instead, Im gonna te",NOT
169,: Today some racist divvy called James Goddard came to Liverpool and two Scouse women made him run away and climb up a tr,NOT
170,: When you get roasted but that shit lowkey hurt,HOF
171,: Bruh if you wanna cheat or have the urge to fuck other people. Then just be single you dumb mf.,HOF
172,like = indireta com a inicial Go go,NOT
173,: The Dera Sacha Sauda followers help those who are mentally u,NOT
174,"Our offices have taken delivery of their mental health and wellbeing boards, just in time for the start of 'Mental",NOT
175,Little girl you know you dont have to expose barney like that. Bad girl!!! &gt;:c ima slap your ass with my purple tail,HOF
176,DATES AND PRICES LISTED*GOLDEN GATES HOLIDAY CENTRE*3 Bedrooms| Berth| Golden Gate Holiday Centre| Towyn,NOT
177,I never thought of doing this but Im beyond into it,NOT
178,She said fuck them kids,HOF
179,: Q. where do you spend so much money on?MS: i spend too much on food. i don't spend much money on shopping since i work i,NOT
180,I literally have so much to say about this cause of experiences Ive had lol close your legs and close your mouth,NOT
181,: Nearly half of the highest Blood Alcohol Content measurements ever recorded were from people in Poland.,NOT
182,: RT if youd fuck Genie Bouchard on her yacht,HOF
183,Forgot you had them in the office... and I checked office a number of times before sending,NOT
184,": If you don't KNOW this movie , you're probably too young !!",NOT
185,: Thor needs to knock that clown Winker on his ass tomorrow,HOF
186,: She fucking checked her nails,HOF
187,My apprentice wrote that whilst I was hard at work. Stupid fuck!,HOF
188,": omg you so skinny now if I say omg you a BIG bitch, you gone be mad",HOF
189,"And I know that k aint shit in the big picture but thats almost double what I was at months before, and since I",HOF
190,Are you a parent/carer of the school who works in joinery and can spare a little time to help us improve our outdoo,NOT
191,Shit mbn,HOF
192,"Show &amp; tell time Trotters! What are we all up to this weekend then - running, racing, resting or volunteering?",NOT
193,"Another hour! It's May , at :30AM",NOT
194,You're the ROLLING to my THUNDER!!! KEEP BEING YOU!!!!!!,NOT
195,": Trump fits in nowhere. He is too stupid for business tycoons, to crass for Hollywood, too ignorant for democrati",HOF
196,you done lost his rabbit ass mind,HOF
197,"Blocked. Tired of your bullshit,",HOF
198,I was cold bruh .. my chesting game sick .. that's why today my chest game sick,NOT
199,: taegi: is there something you fucking NEED,HOF
200,: This shit was sexy asf nigga was tryna tell home to go slow before he nutted but he didnt listen,HOF
201,": hobi pronouncing ""ich werde diesen abend nicht vergessen"" (""i will never forget this evening"" in german) in the tiniest fon",NOT
202,: Nigerians dont have chill. Theyve made a music video for the fuck you but to Jesus be my glory guy,HOF
203,I dont like him for a lot of reasons. But never thought he played that game.,NOT
204,"Totally not against sex before marriage. I mean who doesnt want a test drive?? But, be prep",NOT
205,: Clear skin No pimple Clear skin No pimple Clear skinNo pimpleClear skinNo pimpleClear skin No pimple Clear skin,NOT
206,: LMFAOOO YOU KNOW WHAT THE BEST PART OF TATI EXPOSING JAMES CHARLES IS?!?! HOMEBOY IS IN FUCKING AUSTRALIA RIGHT NOW AND,HOF
207,crazy how after years of fucking with a person they can act like y'all never knew each other. :|,HOF
208,YOU MADE ME LOOK LIKE A FOOL,NOT
209,Lmfaoooo I remember this shit,HOF
210,im so tired of men making the laws for womens bodies!!!! yall dont know shit about it stop trying to dictate how we use it!!!!!!!,HOF
211,": I love my man being clingy. Lay on me, lick my face, bite my ass, kiss me alll over my face, tickle me, rub alll over me, &amp;",HOF
212,: Theres honestly nothing more dangerous than a person who healed themselves with the help of no one. Theres no mf out t,HOF
213,And trump wasn't on camera saying he grabs women and they all want to sleep with him. He,NOT
214,I'm really fucking,HOF
215,FUCK WE GETTING A BTS X DRAKE COLLAB FUC IT! FUCK FUCK!! FUCKING FUCK!!,HOF
216,Instead of you to be grateful that I did not spell God with small letter g,NOT
217,": If you dont talk to yourself youre boring. BITCH, I got a friend in me",HOF
218,Smart shit aint better,HOF
219,He should go back to white face...,NOT
220,"A cheap suit like you, Schiff, should be able to prove your claim. But you're just a cheap suit, with a big mouth.",HOF
221,": If this picture doesn't come up on your tl every month and someone quotes it that the oxygen there crisp as fuck, you're us",HOF
222,"Bhakts are not less educated , so till now they are not able to get it",NOT
223,: If you're feeling sorry for the people of King's Landing just remember they rooted for Ned's execution. https,NOT
224,HOW THE FUCK ARE YOU GONNA NAME YOUR KID JORAH,HOF
225,I literally never took the pacer test what is the collective fever dream yall had is this the Mandela affect did I switch timelines,NOT
226,FSU is the place to be....Dont rush the decision just know youll have a great opportunity under C,NOT
227,Up next: Ohio outlaws fucking,HOF
228,: Another acoustic masterpiece that were left in the dust.. we need the rest of these amazing songs https:/,NOT
229,why dont u go away???,NOT
230,Had an awesome time at the concert! was fucking amazing!!!,HOF
231,: the frostiest you ever did see those white trichomes make cannabinoids like and so they're the real GO,NOT
232,": ""I found you.""""I found you too.""181014",NOT
233,: I NEED THIS. HELP ME,NOT
234,"pray for my mama her surgery is today, and pray for my unborn sister who will born in mins",NOT
235,": no offense but some of yall are shitty ass people and get blessed with someone who will b there you, puts up with your shit",HOF
236,: Yall really ugly asf yall just be havin fat ass,NOT
237,: Remainers please dont boycott - instead vote for a remain party. Just put your tribal instincts aside and vote for a go,NOT
238,I totally agree!! Like always went out of her way to help him make it big and he goes and does this rotten shit.,HOF
239,"It was obvious from the very beginning he always regarded himself as a maverick, which the PMs letter also suggest",NOT
240,Eternal Child avarige yappie yappie birthday,NOT
241,: Do you want to see our TOTAL VOTES ACCUMULATED FOR TODAY?To unlock RTs RepliesIn just hour...,NOT
242,Further proof that any organised religion is full-on bullshit,HOF
243,": Yeah and she trained to be able to do that. Probably for weeks to get it exactly right, and that's just a solo dance rout",NOT
244,: Bet ko talaga si Dawn. She doesn't have any filter but she speaks facts. She's not bias and sees the situation in a rationa,NOT
245,I would have legit passed out what the fuck,HOF
246,": Please do not RT Lindsey Graham saying ""TRUMP IS A FUCKING IDIOT"" on national TV today. It will only upset",HOF
247,: My daughter's skills have finally surpassed those of her mother. Look at her throat bulge with my cock!,HOF
248,: I need a come spend a night text,NOT
249,: jk when i tell him hes not allowed a th banana milk,NOT
250,get ur own fuckin dog bitch,HOF
251,"Ugh, can he get any more pretentious?",NOT
252,": Id be marrying him because he loved me and completes me, not because of where hed get my ring from. How horrible woul",NOT
253,SAY DET SHIT FRIEND !,HOF
254,: This filter was made for us to do this kinda shit A whole ramping shop come out ages ago and we finally get something,HOF
255,: Scroll downKeep scrollingnow youre obligated to reply wi,NOT
256,": If you make art, you're an artist.If you're just learning, you're still an artist.If you don't make money from art, yo",NOT
257,Never met a mother like my mom she never folds no matter how hard ANYTHING GETS. She keeps it pushing&amp;goes x har,NOT
258,I asked mum for a lift to the station in the morning and she basically told me to fuck off and HAHAHA,NOT
259,Any person in this thread criticizing the President for this is a big time asshole. This is one th,HOF
260,: i really hope nobody gets hurt over this Mozzy / Philthy Rich beef but at least there's some hard ass records coming out as a r,HOF
261,I need more dets!,NOT
262,One thing about me none of my friends can say i fucked someone they talk to went with or fuck bitches snakes I,HOF
263,": Masturbation is a form of stress relief, so go fuck yourself and calm down.",HOF
264,"Thats ok, the rest of the country doesnt trust you, so we are even",NOT
265,It's clear that someone's gotta go,NOT
266,"And Tiffany was everything to Game , and his old ass cheated!!!! Bye boy lol",HOF
267,Lol who r u talking about? Lock him up,NOT
268,: Why do tech guys constantly want to spend their billions getting into space rather than IDK spending it on a Marshall pla,NOT
269,: I be cool but Ill fuck anybody up over my Momma!,HOF
270,"I was already shades of ""Hell no"" over his dumb ass... but fucking hell, 're the st out LGBT",HOF
271,: OUR BOYS LOOK SO FUCJFGSHD AMAZING I CANT STOP SCREAMING YALL OH MY GOD THE ALL BLACK AND WHITE ENSEMBLES HOLY FUDNWJDBDI,NOT
272,: Look at that ass!!,HOF
273,shes been NOTHING but nice and everybody is so fucking MEAN to her,HOF
274,: just found out i have to piss AND shit for the rest of my life,HOF
275,": bitches in real life be bird as fuck and only good for sex, Im sick",HOF
276,: fuck fancams get THIS to million,HOF
277,: Huening Kai said get your ass back here,HOF
278,Hate when people only ever ring you when they want something,HOF
279,: I love slides. fuck shoes rs,HOF
280,: I think we need to work on putting together an Internet of Scooters talk,NOT
281,: reminder that grown women who had consensual unprotected sex and just dont want to be pregnant are just as deserving of,NOT
282,: followers help those who are mentally unstable and lost un,NOT
283,": May , a SEAL medic was treating a wounded y/o Islamic State fighter. Hes mine, Gallagher said. Gallagher walked u",NOT
284,: Nigga said school didnt teach you like this shit educational,HOF
285,": Over the course of the past two days, the United States and China have held candid and constructive conversations on t",NOT
286,I fucking love the new filter on Snapchat that guys post looking like a bad bitch,HOF
287,: Thought all these VF+ supporters were being killed off in a white genocide?,NOT
288,: British Muslims.*More than half of British muslims think homosexuality should be illegal*Almost half would not accept a teache,HOF
289,Today it seems like im feeling all my fucking feelings,HOF
290,: Have you ever been through something you thought you'd never make it through yet you lived to tell the story?,NOT
291,: OMG! I'm going to SS7SinJKT!!! Best advance birthday gift ever!!!! Thanks to my ever supportive hubby!,NOT
292,": Were not meddling in an election, were meddling in an investigation, which we have a right to do, Mr. Giuliani said.",NOT
293,: I bet youre not doing what youre supposed to be doing right now.,NOT
294,"What do we do if a migrant has come from a country without a functioning government? Think Somalia, Eritrea, Yeme",NOT
295,": This is my simple religion.There is no need for temples;No need for complicated philosophy.Our own brain, our own hear",NOT
296,"My mom told me once umuntu wahamba, they must never come back cos you dont know who youre dealing with, babuya beshintshile",NOT
297,Fuck the who now ? Nah....this what we're not about to do where these yeti people live ....?,HOF
298,": The Abertay Digital Graduate Show is officially open!! Were open until pm tonight, and from -4 tomorrow, Sund",NOT
299,: Mmm~ Mmmm... |-| |-| Like to keep fucking her ass. RT to cum in her purple hole. Both to thrus,HOF
300,"I'm laughing and crying at the same time... If you're not a writer, you have to get started on this career.",NOT
301,Fuck nut,HOF
302,": fuck sex, can you stick around and not give up on me?",HOF
303,Niggas be cool with lying until they find out you a liar with they ass now they HURT,HOF
304,"now that both my m&amp;g are over, i have found to say to ruel lol",NOT
305,: Day6 - Days Gone By ( ) the singing chicken version im not sure is it a duck or whuts up Hi my little,NOT
306,": Final BTS () vote! minutes left, Tweet/RT/Reply below!",NOT
307,": Modi government has tackled terrorism in a way that previous UPA never attempted, crucial in this era of global terror",NOT
308,: that shit make you wanna go home,HOF
309,Thats ah damn shame,NOT
310,Yall go get me some wings,NOT
311,: Lakers fans are planning on holding two protests outside of Staples Center this weekend voicing their frustration with th,NOT
312,: These people know Barr is coming after them.That's why they're working furiously to publicly discredit and smear him.,NOT
313,"People will tell you what they want you to know, youll rarely if ever get the whole story unless you end up in a p",NOT
314,TELL ALL YOUR LOYAL KOOL-AID DRINKING MAGA CROWD NEXT TIME JUST WHERE ALL YOUR OR THE TRUMPS JUNK,NOT
315,": Ever heard of John N Mitchell?He was the US Attorney General -1972 under Nixon.He was found guilty of conspiracy, o",NOT
316,: My line be dry because of me fr lol I dont be tryn fuck wit nobody,HOF
317,: I LOST MY BREATH JIMIN CAME OUT WITH THAT SWOOPY HAIR AND THOSE SHADES FUCK,HOF
318,: Need a scammer to take me under their wing fuck this -4 shit,HOF
319,Just the one unfollower today found tracked by,NOT
320,Yeah Im knowin and you know why nail thought mental ever dem try pigeon hole me get crucified cant clone this ed,NOT
321,": Rt if you'd fuck me, Like if you have a big cock for me too",HOF
322,: Ever wondered why Modi gave up blaming for everything &amp; shifted his focus on instead?That is becaus,HOF
323,": im not fine, i need you",NOT
324,You're amazing!!! Well done!!,NOT
325,": who else cried the moment their cactus era video start, why do they need to touch that button",NOT
326,: Tell me Im not one fine baby mama! I wont believe you,NOT
327,Fuck sports whats up wit the money though,HOF
328,: Serving as 's Vice President was a privilege and an honor. We share the belief that America is a place where ordi,NOT
329,: Hes such an ass -Id rather sleep flat on my bed than use any of his pillows,HOF
330,can you blow up angis tweet fake ass,HOF
331,: Muslim refugees in SwedenThis is why we don't want them inUnited States Of America Muslims only want to take over USA,HOF
332,Hell yeah it has. Why dont they just release the fucking report if,HOF
333,do you even know what sober is fuck off,HOF
334,bitch ure still awake oh wow,HOF
335,: Drug dealer: I got that for $25Me: i dont smokeDrug dealer : I got edibles and I know yo fat ass eat Me:,HOF
336,: Sir Nicholas Winton saved mostly Jewish children from Nazi occupied Czechoslovakia on the eve of WWII through operatio,NOT
337,Need to be fuck right now...,HOF
338,I need a hug,NOT
339,// Hope you get better,NOT
340,"I honestly think it was a very bad mistake, no one would be stupid enough to tweet that if they actually meant it,",NOT
341,: Them: America isnt ready to elect a woman to be President. Sen. Kamala Harris:,NOT
342,calls dangerous? He sold weapons to El Chapo. Now who is dangerous? Shut the hell up Eric the criminal.,HOF
343,I need to see him perform this live,NOT
344,"We need a word for going somewhere alone,sitting and waiting for some stranger to approach you",NOT
345,"I dont want to say it, but the fact that we could be playing Tranmere in the play offs no matter what happens scar",NOT
346,: Me : Lou you see these niggas tryna run off with ya style bitch? They couldnt do shit with ya when you was here and they,HOF
347,": tell cersei, i want her to know it was me",NOT
348,": Anyway, no interest in the prequels, but I would probably watch ARYA: WEST OF WESTEROS.",NOT
349,Youre sifting through the treasures and trash of your inner w... More for Virgo,NOT
350,That is disgusting! It makes me sick! Why do these people have such hate in their hearts?,NOT
351,": Become mentally untouchable. Never react, only adapt. Don't take shit personal.",NOT
352,Youre going to need itShes going to need asylum in America? What a dumb fucking comment.,HOF
353,Like damn maybe I wanna laugh and have a drink or go to dinner too yall really disowned me :/,HOF
354,This album proved to the world that Ariana is a bad bitch and is THAT bitch,HOF
355,They'll still get a preference from me because I'd rather have them win than a pro-leave party.,NOT
356,: Really dont think we need more malls,NOT
357,: So only a virgin is chaste? Rest of them are? Horrible comparison,NOT
358,Youve never seen what happens when a dragon grows greedy. Have you~?,NOT
359,Lolol,NOT
360,god dammit help bitch,HOF
361,: FUCK YALL A NON-ENGLISH-SPEAKING ARTIST WON TOP GROUP OF THE YEAR IN TRUMP'S AMERICA THIS IS THE MF REVOLUTION,HOF
362,ik its like so fcking out of the blue???? like u dont need to say that shit to be funny. you man,HOF
363,: Oh they'll do their job. Who did you have help you write this? We know you're the DUMBEST tRump,NOT
364,I love kissing and not rushing into things let's makeout for mins then fuck that shit builds up,HOF
365,: Harris just did some of that prosecutor shit.,HOF
366,When a guy tells you he mostly just likes hanging out with you because of your body and doesn't really think you're a cool person &lt;&lt;&lt;&lt;&lt;,NOT
367,: how many retweets do i need to get for u to get me this hoodie?,NOT
368,": why do airplane tickets have to be so expensive! having separate continents is so stupid, I miss Pangea",NOT
369,"Wander quickly for a little while. In our world, everything shall try boast to not welcome, if I vague",NOT
370,: its SO draining always going an extra mile for people that wouldnt even cross a fucking road for you xx,HOF
371,Glad I saw this post before I signed up for your product. Went with Duolingo instead. .,NOT
372,"Holy shit George, I just caught on to that!! How I love your brain!",HOF
373,"this was the thing i wrote for sungjae's bday in im emo as fuck ""i hope you will stay in my life for many year",HOF
374,that really is a perfect ass. just needs my hard one rubbing on it,HOF
375,": You Igbo people explaining, NEED TO STOP explaining why you want/need to have a hangout.Stop acting like puppies.Sto",NOT
376,": When you play the game of thrones, you win or you die.The series finale premieres tonight at PM on .",NOT
377,": Dear Democrats: The American people arent stupid, they know what spying is and no amount of gaslighting will change th",NOT
378,: why did he leave his thumb up im fucking gone,HOF
379,": Well, were laughing because folx firstly dont even see fat people as human or worthy of empathy (tbh, debate your moth",HOF
380,"Encyclopedia Dramatica is godawful and KiwiFarms is worse, and they're also hallmarks for documentation of individu",NOT
381,Want to get the word out? Broadcast your business to + people for only bucks at,NOT
382,I WILL FUCKING TURN INTO A SUPER SAYIAN IF YOU GUYS DONT VOTE FOR DAX,HOF
383,"Call me stupid, call me sad, you're the best I've ever had, you're the worst I've ever had and that keeps fucking with my head",HOF
384,: you'renotreadingthisbyaccidentthisisyourconfirmationyou'regoingtomakeitnomatterwhat itlookslikerig,NOT
385,: kick fucking rocks,HOF
386,: Get your ass back here damnit,HOF
387,": NUEST - HAPPILY EVER AFTER190502 :409,969 copies (total copies)Surpassed k",NOT
388,fuuuuuuuckkk offf y'all gave me shit,HOF
389,: yea your ass is fat but how thicc is your love for the planet,HOF
390,": you ever think about how jeon jungkook is literally good at everything, is a multi millionaire, looks like THAT, is tall",NOT
391,Stupid suriya,HOF
392,Does anyone else not think she was the worst dressed ?,HOF
393,: Eat my ass,HOF
394,I'm sad as fuck,HOF
395,I thought it was ok. Lot of wasted time at the end. We get it. Aryas on the boat. Dont need shot,NOT
